17,Aaron's rod,,"A rod with one serpent twined around it, thus differing from the caduceus of Mercury, which has two."
18,Aaron's rod,,"A plant with a tall flowering stem; esp. the great mullein, or hag-taper, and the golden-rod."
19,Ab-,,"A prefix in many words of Latin origin. It signifies from, away , separating, or departure, as in abduct, abstract, abscond. See A-(6)."
20,Ab,n.,"The fifth month of the Jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with August."
21,Abaca,n.,"The Manila-hemp plant (Musa textilis); also, its fiber. See Manila hemp under Manila."
22,Abacinate,v. t.,To blind by a red-hot metal plate held before the eyes.
23,Abacination,n.,The act of abacinating.
24,Abaciscus,n.,One of the tiles or squares of a tessellated pavement; an abaculus.
25,Abacist,n.,One who uses an abacus in casting accounts; a calculator.
26,Aback,adv.,Toward the back or rear; backward.
27,Aback,adv.,Behind; in the rear.
28,Aback,adv.,Backward against the mast; -- said of the sails when pressed by the wind.
29,Aback,n.,An abacus.
30,Abactinal,a.,Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal.
31,Abaction,n.,Stealing cattle on a large scale.
32,Abactor,n.,One who steals and drives away cattle or beasts by herds or droves.
33,Abaculi,pl. ,of Abaculus
34,Abaculus,n.,"A small tile of glass, marble, or other substance, of various colors, used in making ornamental patterns in mosaic pavements."
35,Abacuses,pl. ,of Abacus
36,Abaci,pl. ,of Abacus
37,Abacus,n.,"A table or tray strewn with sand, anciently used for drawing, calculating, etc."
38,Abacus,n.,"A calculating table or frame; an instrument for performing arithmetical calculations by balls sliding on wires, or counters in grooves, the lowest line representing units, the second line, tens, etc. It is still employed in China."
39,Abacus,n.,"The uppermost member or division of the capital of a column, immediately under the architrave. See Column."
40,Abacus,n.,"A tablet, panel, or compartment in ornamented or mosaic work."
41,Abacus,n.,"A board, tray, or table, divided into perforated compartments, for holding cups, bottles, or the like; a kind of cupboard, buffet, or sideboard."
42,Abada,n.,The rhinoceros.
43,Abaddon,n.,"The destroyer, or angel of the bottomless pit; -- the same as Apollyon and Asmodeus."
44,Abaddon,n.,Hell; the bottomless pit.
45,Abaft,prep.,"Behind; toward the stern from; as, abaft the wheelhouse."
46,Abaft,adv.,"Toward the stern; aft; as, to go abaft."
47,Abaisance,n.,Obeisance.
48,Abaiser,n.,Ivory black or animal charcoal.
49,Abaist,p. p.,Abashed; confounded; discomfited.
50,Abalienate,v. t.,To transfer the title of from one to another; to alienate.
51,Abalienate,v. t.,To estrange; to withdraw.
52,Abalienate,v. t.,To cause alienation of (mind).
53,Abalienation,n.,The act of abalienating; alienation; estrangement.
54,Abalone,n.,"A univalve mollusk of the genus Haliotis. The shell is lined with mother-of-pearl, and used for ornamental purposes; the sea-ear. Several large species are found on the coast of California, clinging closely to the rocks."
55,Aband,v. t.,To abandon.
56,Aband,v. t.,To banish; to expel.
57,Abandoned,imp. & p. p.,of Abandon
58,Abandoning,p. pr. & vb. n.,of Abandon
59,Abandon,v. t.,To cast or drive out; to banish; to expel; to reject.
60,Abandon,v. t.,"To give up absolutely; to forsake entirely ; to renounce utterly; to relinquish all connection with or concern on; to desert, as a person to whom one owes allegiance or fidelity; to quit; to surrender."
61,Abandon,v. t.,Reflexively: To give (one's self) up without attempt at self-control; to yield (one's self) unrestrainedly; -- often in a bad sense.
62,Abandon,v. t.,"To relinquish all claim to; -- used when an insured person gives up to underwriters all claim to the property covered by a policy, which may remain after loss or damage by a peril insured against."
63,Abandon,v.,Abandonment; relinquishment.
64,Abandon,n.,A complete giving up to natural impulses; freedom from artificial constraint; careless freedom or ease.
65,Abandoned,a.,"Forsaken, deserted."
66,Abandoned,a.,"Self-abandoned, or given up to vice; extremely wicked, or sinning without restraint; irreclaimably wicked ; as, an abandoned villain."
67,Abandonedly,adv.,Unrestrainedly.
68,Abandonee,n.,One to whom anything is legally abandoned.
69,Abandoner,n.,One who abandons.
70,Abandonment,n.,"The act of abandoning, or the state of being abandoned; total desertion; relinquishment."
71,Abandonment,n.,The relinquishment by the insured to the underwriters of what may remain of the property insured after a loss or damage by a peril insured against.
72,Abandonment,n.,"The relinquishment of a right, claim, or privilege, as to mill site, etc."
73,Abandonment,n.,"The voluntary leaving of a person to whom one is bound by a special relation, as a wife, husband, or child; desertion."
74,Abandonment,n.,Careless freedom or ease; abandon.
75,Abandum,n.,Anything forfeited or confiscated.
76,Abanet,n.,See Abnet.
77,Abanga,n.,"A West Indian palm; also the fruit of this palm, the seeds of which are used as a remedy for diseases of the chest."
78,Abannation,n.,Alt. of Abannition
79,Abannition,n.,Banishment.
80,Abarticulation,n.,"Articulation, usually that kind of articulation which admits of free motion in the joint; diarthrosis."
81,Abased,imp. & p. p.,of Abase
82,Abasing,p. pr. & vb. n.,of Abase
83,Abase,a.,"To lower or depress; to throw or cast down; as, to abase the eye."
84,Abase,a.,"To cast down or reduce low or lower, as in rank, office, condition in life, or estimation of worthiness; to depress; to humble; to degrade."
85,Abased,a.,Lowered; humbled.
86,Abased,a.,"Borne lower than usual, as a fess; also, having the ends of the wings turned downward towards the point of the shield."
87,Abasedly,adv.,Abjectly; downcastly.
88,Abasement,n.,"The act of abasing, humbling, or bringing low; the state of being abased or humbled; humiliation."
89,Abaser,n.,"He who, or that which, abases."
90,Abashed,imp. & p. p.,of Abash
91,Abashing,p. pr. & vb. n.,of Abash
92,Abash,v. t.,"To destroy the self-possession of; to confuse or confound, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to put to shame; to disconcert; to discomfit."
93,Abashedly,adv.,In an abashed manner.
94,Abashment,n.,The state of being abashed; confusion from shame.
95,Abassi,n.,Alt. of Abassis
96,Abassis,n.,"A silver coin of Persia, worth about twenty cents."
97,Abatable,a.,"Capable of being abated; as, an abatable writ or nuisance."
98,Abated,imp. & p. p.,of Abate
99,Abating,p. pr. & vb. n.,of Abate
100,Abate,v. t.,To beat down; to overthrow.
101,Abate,v. t.,"To bring down or reduce from a higher to a lower state, number, or degree; to lessen; to diminish; to contract; to moderate; to cut short; as, to abate a demand; to abate pride, zeal, hope."
102,Abate,v. t.,"To deduct; to omit; as, to abate something from a price."
103,Abate,v. t.,To blunt.
104,Abate,v. t.,To reduce in estimation; to deprive.
105,Abate,v. t.,"To bring entirely down or put an end to; to do away with; as, to abate a nuisance, to abate a writ."
106,Abate,v. t.,"To diminish; to reduce. Legacies are liable to be abated entirely or in proportion, upon a deficiency of assets."
107,Abate,v. t.,"To decrease, or become less in strength or violence; as, pain abates, a storm abates."
108,Abate,v. t.,"To be defeated, or come to naught; to fall through; to fail; as, a writ abates."
109,Abate,n.,Abatement.
110,Abatement,n.,"The act of abating, or the state of being abated; a lessening, diminution, or reduction; removal or putting an end to; as, the abatement of a nuisance is the suppression thereof."
111,Abatement,n.,The amount abated; that which is taken away by way of reduction; deduction; decrease; a rebate or discount allowed.
112,Abatement,n.,A mark of dishonor on an escutcheon.
113,Abatement,n.,"The entry of a stranger, without right, into a freehold after the death of the last possessor, before the heir or devisee."
114,Abater,n.,"One who, or that which, abates."
115,Abatis,n.,Alt. of Abattis
116,Abattis,n.,"A means of defense formed by felled trees, the ends of whose branches are sharpened and directed outwards, or against the enemy."
117,Abatised,a.,Provided with an abatis.
118,Abator,n.,One who abates a nuisance.
119,Abator,n.,"A person who, without right, enters into a freehold on the death of the last possessor, before the heir or devisee."
120,Abattoirs,pl. ,of Abattoir
121,Abattoir,n.,"A public slaughterhouse for cattle, sheep, etc."
122,Abature,n.,Grass and sprigs beaten or trampled down by a stag passing through them.
123,Abatvoix,n.,The sounding-board over a pulpit or rostrum.
124,Abawed,p. p.,Astonished; abashed.
125,Abaxial,a.,Alt. of Abaxile
126,Abaxile,a.,Away from the axis or central line; eccentric.
127,Abay,n.,Barking; baying of dogs upon their prey. See Bay.
128,Abb,n.,"Among weavers, yarn for the warp. Hence, abb wool is wool for the abb."
129,Abba,n.,"Father; religious superior; -- in the Syriac, Coptic, and Ethiopic churches, a title given to the bishops, and by the bishops to the patriarch."
130,Abbacies,pl. ,of Abbacy
131,Abbacy,n.,"The dignity, estate, or jurisdiction of an abbot."
132,Abbatial,a.,"Belonging to an abbey; as, abbatial rights."
133,Abbatical,a.,Abbatial.
134,Abbe,n.,"The French word answering to the English abbot, the head of an abbey; but commonly a title of respect given in France to every one vested with the ecclesiastical habit or dress."
135,Abbess,n.,"A female superior or governess of a nunnery, or convent of nuns, having the same authority over the nuns which the abbots have over the monks. See Abbey."
136,Abbeys,pl. ,of Abbey
137,Abbey,n.,"A monastery or society of persons of either sex, secluded from the world and devoted to religion and celibacy; also, the monastic building or buildings."
138,Abbey,n.,The church of a monastery.
139,Abbot,n.,The superior or head of an abbey.
140,Abbot,n.,One of a class of bishops whose sees were formerly abbeys.
141,Abbotship,n.,The state or office of an abbot.
142,Abbreviated,imp. & p. p.,of Abbreviate
143,Abbreviating,p. pr. & vb. n.,of Abbreviate
144,Abbreviate,v. t.,"To make briefer; to shorten; to abridge; to reduce by contraction or omission, especially of words written or spoken."
145,Abbreviate,v. t.,"To reduce to lower terms, as a fraction."
146,Abbreviate,a.,Abbreviated; abridged; shortened.
147,Abbreviate,a.,Having one part relatively shorter than another or than the ordinary type.
148,Abbreviate,n.,An abridgment.
149,Abbreviated,a.,Shortened; relatively short; abbreviate.
150,Abbreviation,n.,"The act of shortening, or reducing."
151,Abbreviation,n.,The result of abbreviating; an abridgment.
152,Abbreviation,n.,"The form to which a word or phrase is reduced by contraction and omission; a letter or letters, standing for a word or phrase of which they are a part; as, Gen. for Genesis; U.S.A. for United States of America."
153,Abbreviation,n.,"One dash, or more, through the stem of a note, dividing it respectively into quavers, semiquavers, or demi-semiquavers."
154,Abbreviator,n.,One who abbreviates or shortens.
155,Abbreviator,n.,"One of a college of seventy-two officers of the papal court whose duty is to make a short minute of a decision on a petition, or reply of the pope to a letter, and afterwards expand the minute into official form."
156,Abbreviatory,a.,Serving or tending to abbreviate; shortening; abridging.
157,Abbreviature,n.,An abbreviation; an abbreviated state or form.
158,Abbreviature,n.,An abridgment; a compendium or abstract.
159,Abb wool,,See Abb.
160,A B C,,"The first three letters of the alphabet, used for the whole alphabet."
161,A B C,,A primer for teaching the alphabet and first elements of reading.
162,A B C,,"The simplest rudiments of any subject; as, the A B C of finance."
163,Abdal,n.,A religious devotee or dervish in Persia.
164,Abderian,a.,Given to laughter; inclined to foolish or incessant merriment.
165,Abderite,n.,"An inhabitant of Abdera, in Thrace."
166,Abdest,n.,Purification by washing the hands before prayer; -- a Mohammedan rite.
167,Abdicable,a.,Capable of being abdicated.
168,Abdicant,a.,Abdicating; renouncing; -- followed by of.
169,Abdicant,n.,One who abdicates.
170,Abdicated,imp. & p. p.,of Abdicate
171,Abdicating,p. pr. & vb. n.,of Abdicate
172,Abdicate,v. t.,"To surrender or relinquish, as sovereign power; to withdraw definitely from filling or exercising, as a high office, station, dignity; as, to abdicate the throne, the crown, the papacy."
173,Abdicate,v. t.,"To renounce; to relinquish; -- said of authority, a trust, duty, right, etc."
174,Abdicate,v. t.,To reject; to cast off.
175,Abdicate,v. t.,"To disclaim and expel from the family, as a father his child; to disown; to disinherit."
176,Abdicate,v. i.,"To relinquish or renounce a throne, or other high office or dignity."
177,Abdication,n.,"The act of abdicating; the renunciation of a high office, dignity, or trust, by its holder; commonly the voluntary renunciation of sovereign power; as, abdication of the throne, government, power, authority."
178,Abdicative,a.,"Causing, or implying, abdication."
179,Abdicator,n.,One who abdicates.
180,Abditive,a.,Having the quality of hiding.
181,Abditory,n.,A place for hiding or preserving articles of value.
182,Abdomen,n.,"The belly, or that part of the body between the thorax and the pelvis. Also, the cavity of the belly, which is lined by the peritoneum, and contains the stomach, bowels, and other viscera. In man, often restricted to the part between the diaphragm and the commencement of the pelvis, the remainder being called the pelvic cavity."
183,Abdomen,n.,"The posterior section of the body, behind the thorax, in insects, crustaceans, and other Arthropoda."
184,Abdominal,a.,"Of or pertaining to the abdomen; ventral; as, the abdominal regions, muscles, cavity."
185,Abdominal,a.,"Having abdominal fins; belonging to the Abdominales; as, abdominal fishes."
186,Abdominals,pl. ,of Abdominal
187,Abdominales,pl. ,of Abdominal
188,Abdominal,n.,A fish of the group Abdominales.
189,Abdominales,n. pl.,"A group including the greater part of fresh-water fishes, and many marine ones, having the ventral fins under the abdomen behind the pectorals."
190,Abdominalia,n. pl.,A group of cirripeds having abdominal appendages.
191,Abdominoscopy,n.,Examination of the abdomen to detect abdominal disease.
192,Abdominothoracic,a.,"Relating to the abdomen and the thorax, or chest."
193,Abdominous,a.,Having a protuberant belly; pot-bellied.
194,Abduced,imp. & p. p.,of Abduce
195,Abducing,p. pr. & vb. n.,of Abduce
196,Abduce,v. t.,To draw or conduct away; to withdraw; to draw to a different part.
197,Abducted,imp. & p. p.,of Abduct
198,Abducting,p. pr. & vb. n.,of Abduct
199,Abduct,v. t.,To take away surreptitiously by force; to carry away (a human being) wrongfully and usually by violence; to kidnap.
200,Abduct,v. t.,"To draw away, as a limb or other part, from its ordinary position."
201,Abduction,n.,The act of abducing or abducting; a drawing apart; a carrying away.
202,Abduction,n.,"The movement which separates a limb or other part from the axis, or middle line, of the body."
203,Abduction,n.,"The wrongful, and usually the forcible, carrying off of a human being; as, the abduction of a child, the abduction of an heiress."
204,Abduction,n.,"A syllogism or form of argument in which the major is evident, but the minor is only probable."
205,Abductor,n.,One who abducts.
206,Abductor,n.,"A muscle which serves to draw a part out, or form the median line of the body; as, the abductor oculi, which draws the eye outward."
207,Abeam,adv.,"On the beam, that is, on a line which forms a right angle with the ship's keel; opposite to the center of the ship's side."
208,Abear,v. t.,To bear; to behave.
209,Abear,v. t.,To put up with; to endure.
210,Abearance,n.,Behavior.
211,Abearing,n.,Behavior.
212,Abecedarian,n.,"One who is learning the alphabet; hence, a tyro."
213,Abecedarian,n.,One engaged in teaching the alphabet.
214,Abecedarian,a.,Alt. of Abecedary
215,Abecedary,a.,"Pertaining to, or formed by, the letters of the alphabet; alphabetic; hence, rudimentary."
216,Abecedary,n.,A primer; the first principle or rudiment of anything.
217,Abed,adv.,"In bed, or on the bed."
218,Abed,adv.,"To childbed (in the phrase ""brought abed,"" that is, delivered of a child)."
219,Abegge,,Same as Aby.
220,Abele,n.,The white poplar (Populus alba).
221,Abelian,n.,Alt. of Abelonian
222,Abelite,n.,Alt. of Abelonian
223,Abelonian,n.,"One of a sect in Africa (4th century), mentioned by St. Augustine, who states that they married, but lived in continence, after the manner, as they pretended, of Abel."
224,Abelmosk,n.,"An evergreen shrub (Hibiscus -- formerly Abelmoschus -- moschatus), of the East and West Indies and Northern Africa, whose musky seeds are used in perfumery and to flavor coffee; -- sometimes called musk mallow."
225,Aber-de-vine,n.,"The European siskin (Carduelis spinus), a small green and yellow finch, related to the goldfinch."
226,Aberr,v. i.,To wander; to stray.
227,Aberrance,n.,Alt. of Aberrancy
228,Aberrancy,n.,"State of being aberrant; a wandering from the right way; deviation from truth, rectitude, etc."
229,Aberrant,a.,Wandering; straying from the right way.
230,Aberrant,a.,Deviating from the ordinary or natural type; exceptional; abnormal.
231,Aberrate,v. i.,To go astray; to diverge.
232,Aberration,n.,"The act of wandering; deviation, especially from truth or moral rectitude, from the natural state, or from a type."
233,Aberration,n.,A partial alienation of reason.
234,Aberration,n.,"A small periodical change of position in the stars and other heavenly bodies, due to the combined effect of the motion of light and the motion of the observer; called annual aberration, when the observer's motion is that of the earth in its orbit, and daily or diurnal aberration, when of the earth on its axis; amounting when greatest, in the former case, to 20.4'', and in the latter, to 0.3''. Planetary aberration is that due to the motion of light and the motion of the planet relative to the earth."
235,Aberration,n.,"The convergence to different foci, by a lens or mirror, of rays of light emanating from one and the same point, or the deviation of such rays from a single focus; called spherical aberration, when due to the spherical form of the lens or mirror, such form giving different foci for central and marginal rays; and chromatic aberration, when due to different refrangibilities of the colored rays of the spectrum, those of each color having a distinct focus."
236,Aberration,n.,The passage of blood or other fluid into parts not appropriate for it.
237,Aberration,n.,"The producing of an unintended effect by the glancing of an instrument, as when a shot intended for A glances and strikes B."
238,Aberrational,a.,Characterized by aberration.
239,Aberuncate,v. t.,To weed out.
240,Aberuncator,n.,A weeding machine.
241,Abetted,imp. & p. p.,of Abet
242,Abetting,p. pr. & vb. n.,of Abet
243,Abet,v. t.,"To instigate or encourage by aid or countenance; -- used in a bad sense of persons and acts; as, to abet an ill-doer; to abet one in his wicked courses; to abet vice; to abet an insurrection."
244,Abet,v. t.,"To support, uphold, or aid; to maintain; -- in a good sense."
245,Abet,v. t.,"To contribute, as an assistant or instigator, to the commission of an offense."
246,Abet,n.,Act of abetting; aid.
247,Abetment,n.,"The act of abetting; as, an abetment of treason, crime, etc."
248,Abettal,n.,Abetment.
249,Abetter,n.,Alt. of Abettor
250,Abettor,n.,One who abets; an instigator of an offense or an offender.
251,Abevacuation,n.,A partial evacuation.
252,Abeyance,n.,Expectancy; condition of being undetermined.
253,Abeyance,n.,Suspension; temporary suppression.
254,Abeyancy,n.,Abeyance.
255,Abeyant,a.,Being in a state of abeyance.
256,Abhal,n.,The berries of a species of cypress in the East Indies.
257,Abhominable,a.,Abominable.
258,Abhominal,a.,Inhuman.
259,Abhorred,imp. & p. p.,of Abhor
260,Abhorring,p. pr. & vb. n.,of Abhor
261,Abhor,v. t.,To shrink back with shuddering from; to regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity; to loathe.
262,Abhor,v. t.,To fill with horror or disgust.
263,Abhor,v. t.,To protest against; to reject solemnly.
264,Abhor,v. i.,"To shrink back with horror, disgust, or dislike; to be contrary or averse; -- with"
265,Abhorrence,n.,Extreme hatred or detestation; the feeling of utter dislike.
266,Abhorrency,n.,Abhorrence.
267,Abhorrent,a.,"Abhorring; detesting; having or showing abhorrence; loathing; hence, strongly opposed to; as, abhorrent thoughts."
268,Abhorrent,a.,Contrary or repugnant; discordant; inconsistent; -- followed by to.
269,Abhorrent,a.,Detestable.
270,Abhorrently,adv.,With abhorrence.
271,Abhorrer,n.,One who abhors.
272,Abhorrible,a.,Detestable.
273,Abhorring,n.,Detestation.
274,Abhorring,n.,Object of abhorrence.
275,Abib,n.,"The first month of the Jewish ecclesiastical year, corresponding nearly to our April. After the Babylonish captivity this month was called Nisan."
276,Abidance,n.,The state of abiding; abode; continuance; compliance (with).
277,Abode,imp. & p. p.,of Abide
278,Abid,,of Abide
279,Abiding,p. pr. & vb. n.,of Abide
280,Abide,v. i.,To wait; to pause; to delay.
281,Abide,v. i.,"To stay; to continue in a place; to have one's abode; to dwell; to sojourn; -- with with before a person, and commonly with at or in before a place."
282,Abide,v. i.,To remain stable or fixed in some state or condition; to continue; to remain.
283,Abide,v. t.,"To wait for; to be prepared for; to await; to watch for; as, I abide my time."
284,Abide,v. t.,To endure; to sustain; to submit to.
285,Abide,v. t.,To bear patiently; to tolerate; to put up with.
286,Abide,v. t.,To stand the consequences of; to answer for; to suffer for.
287,Abider,n.,"One who abides, or continues."
288,Abider,n.,One who dwells; a resident.
289,Abiding,a.,Continuing; lasting.
290,Abidingly,adv.,Permanently.
291,Abies,n.,"A genus of coniferous trees, properly called Fir, as the balsam fir and the silver fir. The spruces are sometimes also referred to this genus."
292,Abietene,n.,A volatile oil distilled from the resin or balsam of the nut pine (Pinus sabiniana) of California.
293,Abietic,a.,"Of or pertaining to the fir tree or its products; as, abietic acid, called also sylvic acid."
294,Abietin,n.,Alt. of Abietine
295,Abietine,n.,"A resinous obtained from Strasburg turpentine or Canada balsam. It is without taste or smell, is insoluble in water, but soluble in alcohol (especially at the boiling point), in strong acetic acid, and in ether."
296,Abietinic,a.,"Of or pertaining to abietin; as, abietinic acid."
297,Abietite,n.,"A substance resembling mannite, found in the needles of the common silver fir of Europe (Abies pectinata)."
298,Abigail,n.,A lady's waiting-maid.
299,Abiliment,n.,Habiliment.
300,Abilities,pl. ,of Ability
301,Ability,n.,"The quality or state of being able; power to perform, whether physical, moral, intellectual, conventional, or legal; capacity; skill or competence in doing; sufficiency of strength, skill, resources, etc.; -- in the plural, faculty, talent."
302,Abime,n.,Alt. of Abyme
303,Abyme,n.,A abyss.
304,Abiogenesis,n.,"The supposed origination of living organisms from lifeless matter; such genesis as does not involve the action of living parents; spontaneous generation; -- called also abiogeny, and opposed to biogenesis."
305,Abiogenetic,a.,Of or pertaining to abiogenesis.
306,Abiogenist,n.,One who believes that life can be produced independently of antecedent.
307,Abiogenous,a.,Produced by spontaneous generation.
308,Abiogeny,n.,Same as Abiogenesis.
309,Abiological,a.,Pertaining to the study of inanimate things.
310,Abirritant,n.,A medicine that diminishes irritation.
311,Abirritate,v. t.,To diminish the sensibility of; to debilitate.
312,Abirritation,n.,A pathological condition opposite to that of irritation; debility; want of strength; asthenia.
313,Abirritative,a.,Characterized by abirritation or debility.
314,Abit,,3d sing. pres. of Abide.
315,Abject,a.,Cast down; low-lying.
316,Abject,a.,"Sunk to a law condition; down in spirit or hope; degraded; servile; groveling; despicable; as, abject posture, fortune, thoughts."
317,Abject,a.,"To cast off or down; hence, to abase; to degrade; to lower; to debase."
318,Abject,n.,A person in the lowest and most despicable condition; a castaway.
319,Abjectedness,n.,A very abject or low condition; abjectness.
320,Abjection,n.,The act of bringing down or humbling.
321,Abjection,n.,The state of being rejected or cast out.
322,Abjection,n.,A low or downcast state; meanness of spirit; abasement; degradation.
323,Abjectly,adv.,Meanly; servilely.
324,Abjectness,n.,The state of being abject; abasement; meanness; servility.
325,Abjudge,v. t.,To take away by judicial decision.
326,Abjudicate,v. t.,"To reject by judicial sentence; also, to abjudge."
327,Abjudication,n.,Rejection by judicial sentence.
328,Abjugate,v. t.,To unyoke.
329,Abjunctive,a.,Exceptional.
330,Abjuration,n.,"The act of abjuring or forswearing; a renunciation upon oath; as, abjuration of the realm, a sworn banishment, an oath taken to leave the country and never to return."
331,Abjuration,n.,"A solemn recantation or renunciation; as, an abjuration of heresy."
332,Abjuratory,a.,Containing abjuration.
333,Abjured,imp. & p. p.,of Abjure
334,Abjuring,p. pr. & vb. n.,of Abjure
335,Abjure,v. t.,"To renounce upon oath; to forswear; to disavow; as, to abjure allegiance to a prince. To abjure the realm, is to swear to abandon it forever."
336,Abjure,v. t.,"To renounce or reject with solemnity; to recant; to abandon forever; to reject; repudiate; as, to abjure errors."
337,Abjure,v. i.,To renounce on oath.
338,Abjurement,n.,Renunciation.
339,Abjurer,n.,One who abjures.
340,Ablactate,v. t.,To wean.
341,Ablactation,n.,"The weaning of a child from the breast, or of young beasts from their dam."
342,Ablactation,n.,"The process of grafting now called inarching, or grafting by approach."
343,Ablaqueate,v. t.,"To lay bare, as the roots of a tree."
344,Ablaqueation,n.,The act or process of laying bare the roots of trees to expose them to the air and water.
345,Ablastemic,a.,Non-germinal.
346,Ablation,n.,A carrying or taking away; removal.
347,Ablation,n.,Extirpation.
348,Ablation,n.,Wearing away; superficial waste.
349,Ablatitious,a.,"Diminishing; as, an ablatitious force."
350,Ablative,a.,Taking away or removing.
351,Ablative,a.,"Applied to one of the cases of the noun in Latin and some other languages, -- the fundamental meaning of the case being removal, separation, or taking away."
352,Ablative,,The ablative case.
353,Ablaut,n.,"The substitution of one root vowel for another, thus indicating a corresponding modification of use or meaning; vowel permutation; as, get, gat, got; sing, song; hang, hung."
354,Ablaze,adv. & a.,"On fire; in a blaze, gleaming."
355,Ablaze,adv. & a.,In a state of glowing excitement or ardent desire.
356,Able,superl.,Fit; adapted; suitable.
357,Able,superl.,"Having sufficient power, strength, force, skill, means, or resources of any kind to accomplish the object; possessed of qualifications rendering competent for some end; competent; qualified; capable; as, an able workman, soldier, seaman, a man able to work; a mind able to reason; a person able to be generous; able to endure pain; able to play on a piano."
358,Able,superl.,"Specially: Having intellectual qualifications, or strong mental powers; showing ability or skill; talented; clever; powerful; as, the ablest man in the senate; an able speech."
359,Able,superl.,"Legally qualified; possessed of legal competence; as, able to inherit or devise property."
360,Able,a.,To make able; to enable; to strengthen.
361,Able,a.,To vouch for.
362,#NAME?,,"An adjective suffix now usually in a passive sense; able to be; fit to be; expressing capacity or worthiness in a passive sense; as, movable, able to be moved; amendable, able to be amended; blamable, fit to be blamed; salable."
363,Able-bodied,a.,"Having a sound, strong body; physically competent; robust."
364,Ablegate,v. t.,To send abroad.
365,Ablegate,n.,"A representative of the pope charged with important commissions in foreign countries, one of his duties being to bring to a newly named cardinal his insignia of office."
366,Ablegation,n.,The act of sending abroad.
367,Able-minded,a.,Having much intellectual power.
368,Ableness,n.,Ability of body or mind; force; vigor.
369,Ablepsy,n.,Blindness.
370,Abler,a.,comp. of Able.
371,Abler,a.,superl. of Able.
372,Ablet,,Alt. of Ablen
373,Ablen,,A small fresh-water fish (Leuciscus alburnus); the bleak.
374,Abligate,v. t.,To tie up so as to hinder from.
375,Abligurition,n.,Prodigal expense for food.
376,Ablins,adv.,Perhaps.
377,Abloom,adv.,In or into bloom; in a blooming state.
378,Ablude,v. t.,To be unlike; to differ.
379,Abluent,a.,Washing away; carrying off impurities; detergent.
380,Abluent,n.,A detergent.
381,Ablush,adv. & a.,Blushing; ruddy.
382,Ablution,n.,"The act of washing or cleansing; specifically, the washing of the body, or some part of it, as a religious rite."
